Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
Calendar,2028,1,Public Protection,CRT,,792,Utd Pub EmpL790 SEIU-Crt Clrks,0,Untitled,420C,Deputy Court Clerk II,8540990,674.28,0,5.76,680.04,130.91,0,53.86,184.77,864.81
Calendar,2028,7,General City Responsibilities,229259,,792,Utd Pub EmpL790 SEIU-Crt Clrks,0,Untitled,420C,Deputy Court Clerk II,8540990,674.28,0,5.76,680.04,130.91,0,53.86,184.77,864.81
Fiscal,2028,1,Public Protection,CRT,,792,Utd Pub EmpL790 SEIU-Crt Clrks,0,Untitled,420C,Deputy Court Clerk II,8540990,674.28,0,5.76,680.04,130.91,0,53.86,184.77,864.81
Calendar,2019,4,Community Health,DPH,,790,"SEIU, Local 1021, Misc",2900,Human Services,2930,Behavioral Health Clinician,8591323,92573,0,1392,93965,17962.21,11935.78,7355.3,51920.63,145885.63
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q002,Police Officer,8506994,48130.15,4020.76,1756.75,53907.66,4079.05,1719.46,875.26,21608.57,75516.23
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5272,Landscape Architect Assoc 2,8501540,108103.21,0,0,108103.21,20135.23,11980.16,8477.8,53437.59,161540.8
Calendar,2019,4,Community Health,DPH,,790,"SEIU, Local 1021, Misc",2100,Hospital Administration,2112,Medical Record Technician,8559638,71118.01,2.58,752,71872.59,13700.34,11950.64,5337.12,45655.04,117527.63
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,8584131,84326,2088.2,7324.2,93738.4,17634.47,11935.8,7628.12,51865.77,145604.17
Calendar,2019,1,Public Protection,FIR,,798,"Firefighters,Local 798, Unit 1",H000,Fire Services,H002,Firefighter,8579962,117246.27,57851.57,14761.4,189859.24,23620.15,13238.76,3167.33,55697.04,245556.28
Calendar,2019,4,Community Health,DPH,,250,"SEIU, Local 1021, Misc",2300,Nursing,2312,Licensed Vocational Nurse,8589378,66390.67,3931.44,0,70322.11,12691.44,8870.88,5734.57,42044.49,112366.6
Calendar,2019,7,General City Responsibilities,232343,,351,"Municipal Exec Assoc, Misc",900,Management,954,Dep Dir IV,10090145,50245.02,0,0,50245.02,9355.64,0,6021.93,15377.57,65622.59
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,21,"Prof & Tech Eng, Local 21",1600,"Payroll, Billing & Accounting",1654,Accountant III,8591858,83023.98,0,0,83023.98,15865.92,11728.48,6458.42,44981.62,128005.6
Calendar,2019,5,Culture & Recreation,LIB,,790,"SEIU, Local 1021, Misc",3600,Library,3630,Librarian 1,8562647,44789.28,0,754.52,45543.8,9202.33,7701.16,3641.12,28223.77,73767.57
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,535,"SEIU, Local 1021, Misc",2900,Human Services,2940,Protective Services Worker,8535547,79709.8,0,3985.48,83695.28,15998.89,11935.76,6791.02,49263.29,132958.57
Calendar,2019,5,Culture & Recreation,REC,,377,"Iron Workers, Local 377",7300,Journeyman Trade,7395,Ornamental Iron Worker,8591656,83086,1018.02,4866.9,88970.92,16043.2,11935.78,7160.08,49806.44,138777.36
Calendar,2019,7,General City Responsibilities,102644,,200,"TWU, Local 200",9100,Street Transit,9139,Transit Supervisor,8575061,0,150.91,0,150.91,0,0,11.96,11.96,162.87
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,790,"SEIU, Local 1021, Misc",9100,Street Transit,9110,Fare Collections Receiver,8601964,53638.4,2387.2,16748.38,72773.98,11225.58,8974.54,5890.02,40835,113608.98
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8546383,56337.38,6924.24,3653.58,66915.2,11373.96,11402.8,5173.06,40021.32,106936.52
Calendar,2019,7,General City Responsibilities,240658,,790,"SEIU, Local 1021, Misc",2500,Med Therapy & Auxiliary,2586,Health Worker 2,8573203,35600.78,0,1681.94,37282.72,7124.93,9463.12,2856.65,25499.48,62782.2
Calendar,2019,7,General City Responsibilities,102644,,254,"TWU, Local 250-A, TranFare",9100,Street Transit,9132,Transit Fare Inspector,8606212,56280.85,3398.18,6456.28,66135.31,11900,6990.48,5137.45,38594.03,104729.34
Calendar,2019,5,Culture & Recreation,REC,,790,"SEIU, Local 1021, Misc",3200,Recreation,3279,Recreation Leader,8571776,2749.28,0,206.98,2956.26,0,0,229.45,229.45,3185.71
Calendar,2019,7,General City Responsibilities,240658,,250,"SEIU, Local 1021, Misc",2300,Nursing,2312,Licensed Vocational Nurse,8581846,72399.74,9924.31,1387.35,83711.4,14067.02,11328.76,6602.89,46162.79,129874.19
Calendar,2019,7,General City Responsibilities,229313,,790,"SEIU, Local 1021, Misc",8100,Legal & Court,8133,Victim/Witness Investigator 3,8558813,73141.08,0,0,73141.08,13982.83,11935.8,6258.21,41060.88,114201.96
Calendar,2019,6,General Administration & Finance,ADM,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2716,Custodial Assistant Supervisor,8555369,60638.01,1904.03,3827.3,66369.34,12323.03,11935.78,5374.96,44301.13,110670.47
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,21,"Prof & Tech Eng, Local 21",6300,Construction Inspection,6318,Construction Inspector,8497002,98417.85,0.75,0,98418.6,18813.04,11817.32,7969.09,52750.87,151169.47
Calendar,2019,7,General City Responsibilities,240658,,21,"Prof & Tech Eng, Local 21",2800,Public Health,2803,Epidemiologist 2,8587347,61001.13,0,0,61001.13,11927.44,9418.74,4464.99,33436.41,94437.54
Calendar,2019,6,General Administration & Finance,ADM,,790,"SEIU, Local 1021, Misc",2700,Housekeeping & Laundry,2708,Custodian,8591911,56118,299.21,4650.59,61067.8,11616.49,11935.78,4962.1,43181.75,104249.55
Calendar,2019,7,General City Responsibilities,232108,,790,"SEIU, Local 1021, Misc",9200,Airport Operation,9209,Community Police Services Aide,8576400,66625.72,3401.8,5585.12,75612.64,13804.37,11743.3,6147.81,46281.38,121894.02
Calendar,2019,7,General City Responsibilities,229982,,790,"SEIU, Local 1021, Misc",1400,"Clerical, Secretarial & Steno",1426,Senior Clerk Typist,8555974,61263.01,0,552,61815.01,11816.5,11950.6,5085.5,43519.54,105334.55
Calendar,2019,7,General City Responsibilities,240658,,791,"SEIU, Local 1021, RN",2300,Nursing,P103,Special Nurse,8495871,0,105.98,0,105.98,0,0,8.4,8.4,114.38
Calendar,2019,3,Human Welfare & Neighborhood Development,HSA,,535,"SEIU, Local 1021, Misc",2900,Human Services,2907,Eligibility Worker Supervisor,8526500,84763.07,478.3,0,85241.37,16203.25,11950.6,7015.38,49821.79,135063.16
Calendar,2019,7,General City Responsibilities,232031,,790,"SEIU, Local 1021, Misc",1200,Personnel,1227,Testing Technician,8553108,1337.18,0,0,1337.18,0,0,105.93,105.93,1443.11
Calendar,2019,4,Community Health,DPH,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,9630140,57263.14,3355,10866.17,71484.31,12539.5,10588.38,5723.12,30634.54,102118.85
Calendar,2019,7,General City Responsibilities,229042,,311,Municipal Attorneys Assoc,8100,Legal & Court,8177,Attorney (Civil/Criminal),8508393,0,0,2816.82,2816.82,0,0,240.85,240.85,3057.67
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q052,Sergeant 3,8507136,129350.82,67510,30384.04,227244.86,23923.99,11935.78,3870.56,53328.53,280573.39
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,790,"SEIU, Local 1021, Misc",1600,"Payroll, Billing & Accounting",1222,Sr Payroll & Personnel Clerk,8589120,75390.02,1476.9,0,76866.92,14411.49,11935.82,6274.39,47289.02,124155.94
Calendar,2019,1,Public Protection,POL,,790,"SEIU, Local 1021, Misc",9200,Airport Operation,9209,Community Police Services Aide,8493760,56386.6,3797.61,1527.18,61711.39,11071.13,11876.52,4999.47,42500.76,104212.15
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5266,Architectural Associate 2,8552180,129523.01,0,0,129523.01,24117.22,11935.78,6840.07,50620.51,180143.52
Calendar,2019,5,Culture & Recreation,REC,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,9950138,18792,396.39,0,19188.39,0,9566.74,1530.76,10831.44,30019.83
Calendar,2019,7,General City Responsibilities,240658,,251,"TWU, Local 250-A, Misc",6100,Health & Sanitation Inspection,6122,Sr Environmental Hlth Insp,8573525,111388.53,0,453.2,111841.73,20832.23,11950.6,8813.51,55468.18,167309.91
Calendar,2019,7,General City Responsibilities,240658,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8596912,136840.9,2768.28,23904.51,163513.69,29906.72,11328.72,9648.03,64903.47,228417.16
Calendar,2019,4,Community Health,DPH,,535,"SEIU, Local 1021, Misc",2900,Human Services,2903,Hospital Eligibility Worker,8519533,0,0.22,0,0.22,0,0,0.01,0.01,0.23
Calendar,2019,7,General City Responsibilities,240658,,791,"SEIU, Local 1021, RN",2300,Nursing,2320,Registered Nurse,8567069,79580.51,5640.4,3940.2,89161.11,15437.64,6575.88,7249.67,37813.17,126974.28
Calendar,2019,6,General Administration & Finance,TIS,,790,"SEIU, Local 1021, Misc",7300,Journeyman Trade,7362,Communications Systems Tech,10160143,23641.32,262.96,0,23904.28,0,7079.32,1914.94,8793.32,32697.6
Calendar,2019,7,General City Responsibilities,232031,,790,"SEIU, Local 1021, Misc",1200,Personnel,1227,Testing Technician,8591610,13225.48,863.42,0,14088.9,0,0,1093.54,1093.54,15182.44
Calendar,2019,2,"Public Works, Transportation & Commerce",PUC,,21,"Prof & Tech Eng, Local 21",2400,"Lab, Pharmacy & Med Techs",2487,Chemist III,8524440,40077.04,0,0,40077.04,7658.73,10757.04,3047.29,21130.42,61207.46
Calendar,2019,7,General City Responsibilities,232048,,790,"SEIU, Local 1021, Misc",3600,Library,3630,Librarian 1,8526916,8264.4,0,74.97,8339.37,0,0,647.27,647.27,8986.64
Calendar,2019,7,General City Responsibilities,232300,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3410,Apprentice Gardener,8524279,30565.41,2506.74,0,33072.15,7216.61,0,2841.49,10058.1,43130.25
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5207,Assoc Engineer,8502699,21840,0,0,21840,4173.6,5967.84,1742.36,11699.26,33539.26
Calendar,2019,7,General City Responsibilities,102644,,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,8580180,80298.6,6398.21,4389.73,91086.54,17072.16,11935.76,7825.37,51500.65,142587.19
Calendar,2019,7,General City Responsibilities,229233,,21,"Prof & Tech Eng, Local 21",1800,"Budget, Admn & Stats Analysis",1805,Performance Analyst II,8493140,96608.82,0,0,96608.82,18467.46,11935.76,7684.46,52769.46,149378.28
Calendar,2019,7,General City Responsibilities,232108,,911,POA,Q000,Police Services,Q052,Sergeant 3,8557011,43763.76,16226.88,989.65,60980.29,7992.48,8355.08,1020.25,17109.59,78089.88
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8533247,69027.87,4745.65,3322.42,77095.94,13662.21,12528.04,5968.96,47344.59,124440.53
Calendar,2019,7,General City Responsibilities,232300,,21,"Prof & Tech Eng, Local 21",1800,"Budget, Admn & Stats Analysis",1824,Pr Administrative Analyst,8601862,88160,0,0,88160,16847.4,11935.76,6921.27,46916.23,135076.23
Calendar,2019,7,General City Responsibilities,229982,,535,"SEIU, Local 1021, Misc",9700,Community Development,9703,HSA Emp & Training Spec II,8535537,81087.07,0,552,81639.07,15606.06,11935.76,6312.74,48521.96,130161.03
Calendar,2019,5,Culture & Recreation,REC,,790,"SEIU, Local 1021, Misc",3200,Recreation,3279,Recreation Leader,8496918,12176.36,0,79.79,12256.15,1411.88,0,952.92,2364.8,14620.95
Calendar,2019,7,General City Responsibilities,232118,,21,"Prof & Tech Eng, Local 21",4100,Property Administration,9395,"Property Manager, Port",8535719,31829,0,0,31829,6082.51,8355.04,2552.42,16731.55,48560.55
Calendar,2019,1,Public Protection,POL,,911,POA,Q000,Police Services,Q002,Police Officer,9170171,53680,0,0,53680,9995.2,11935.8,4004.41,32528.29,86208.29
Calendar,2019,7,General City Responsibilities,228996,,351,"Municipal Exec Assoc, Misc",900,Management,933,Manager V,8602493,158909.03,0,2000,160909.03,29598.82,0,25112.33,54711.15,215620.18
Calendar,2019,7,General City Responsibilities,102644,,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7366,Transit Power Line Worker,8498566,0,0.04,0,0.04,0,0,0,0,0.04
Calendar,2019,1,Public Protection,CRT,,792,Utd Pub EmpL790 SEIU-Crt Clrks,0,Untitled,430C,Deputy Court Clerk III,8578067,71811.2,0,455.74,72266.94,13810.16,11920.98,5837.23,41622.15,113889.09
Calendar,2019,2,"Public Works, Transportation & Commerce",MTA,,253,"TWU, Local 250-A, TransitOpr",9100,Street Transit,9163,Transit Operator,8563118,6677.54,8668.12,475.42,15821.08,1312.53,2829.9,1170.93,5223.64,21044.72
Calendar,2019,2,"Public Works, Transportation & Commerce",DPW,,21,"Prof & Tech Eng, Local 21",5200,Professional Engineering,5241,Engineer,8512113,111896.26,0,4047.4,115943.66,21596.33,11906.2,8061.64,51764.63,167708.29
Calendar,2019,7,General City Responsibilities,230010,,21,"Prof & Tech Eng, Local 21",1800,"Budget, Admn & Stats Analysis",1823,Senior Administrative Analyst,9250140,55130.41,0,0,55130.41,10535.42,11935.8,4226.53,32367.83,87498.24
Calendar,2019,7,General City Responsibilities,228996,,130,"Auto Machinist, Local 1414",7200,Supervisory-Labor & Trade,7254,Automotive Machinist Sprv 1,8495959,107905.82,12638.58,0,120544.4,20741.83,11950.64,9502.57,56861.98,177406.38
Calendar,2019,7,General City Responsibilities,232300,,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3422,Park Section Supervisor,8604629,79755,9887.63,0,89642.63,15245.92,11935.78,6977.22,48826.28,138468.91
Calendar,2019,7,General City Responsibilities,229987,,790,"SEIU, Local 1021, Misc",8200,Protection & Apprehension,8239,Public SafetyComm Supv,8595728,31829,24066.4,2110.95,58006.35,6485.91,8355.24,4649.12,19231.77,77238.12
